  ISU IEM BUFKIT STATION LISTING 20230730 - MODIFIED BY KYLE J GILLETT
------------------------------------------------------------------------
Entries may be added, deleted, or edited, BUT FORMAT MUST BE MAINTAINED.
------------------------------------------------------------------------
NUM numbers must be sequential.      Coordinates are in decimal degrees.
------------------------------------------------------------------------

NUM,LAT,LON,ID,NAME,LOC,EL(m),NOTE
000292,   37.11,  -120.24,  CCL , CHOWCHILLA                       , CA,       76  ,0 ETL Site 12-03
000293,   39.99,  -122.06,  CCR , CONCORD -999 ETL Site-03         , CA,       0   ,0 HMT Site 12-10
000294,   39.00,  -123.12,  HLD , HOPLAND                          , CA,       165 ,0 ETL Site 12-03
000295,   38.51,  -122.96,  ROD , RIO DELL                         , CA,       30  ,0 ETL Site 12-03
000296,   33.50,  -106.18,  OSCR, OSCURA RANGE CAMP                , NM,       1371,0 Usr Rqst 6-03
000297,   33.82,  -106.65,  95E , STALLION ARMY AIRFLD             , NM,       1499,0 Usr Rqst 6-03
000298,   40.58,  -111.63,  ALTA, ALTA COLLINS -999 NWS SLC-05     , UT,       0   ,0 NWS SLC 4-05
000299,   43.78,   -82.99,  BAX , BAD AXE                          , MI,       234 ,0 NWS DTX 2-06
000301,   58.00,  -142.00,  5AG , PACIFIC OCE ==                   , AN,       0   ,0
000302,   54.00,  -143.00,  A#5 , CENTRAL GULF P-93                , AK,       0   ,0
000303,   56.00,  -137.00,  5AF , PACIFIC OCE ==                   , AN,       0   ,0
000304,   55.00,  -155.00,  A#6 , GULF S KODIAK I PAC-93           , AK,       0   ,0
000305,   53.00,  -139.00,  A#7 , PACIFIC W-93                     , BC,       0   ,0
000306,   51.10,  -147.40,  A#8 , PACIFIC NEAR SHIP PAPA-93        , --,       0   ,0
000307,   52.00,  -162.00,  A#9 , PACIFIC S PENINSULA-93           , AK,       0   ,0
000308,   49.50,  -153.70,  A#A , NORTH PACIF-93                   , IC,       0   ,0
000309,   49.20,  -168.80,  A#B , PACIFIC S ALEUTIANS-93           , OF,       0   ,0
000310,   50.00,  -135.00,  S#1 , PACIFIC OCE-93                   , AN,       0   ,0
000311,   38.50,  -129.00,  S#2 , PACIFIC OCE-93                   , AN,       0   ,0
000312,   34.00,  -126.00,  S#3 , PACIFIC OCE-93                   , AN,       0   ,0
000313,   29.50,  -123.00,  S#4 , PACIFIC OCE-93                   , AN,       0   ,0
000314,   25.00,  -120.00,  S#5 , PACIFIC OCE-93                   , AN,       0   ,0
000315,   25.00,  -115.00,  S#6 , PACIFIC OCE-93                   , AN,       0   ,0
000330,   44.30,  -140.80,  NW1 , PACIFIC OCE-00                   , AN,       0   ,0
000331,   47.70,  -144.10,  NW2 , PACIFIC OCE-00                   , AN,       0   ,0
000332,   37.40,  -137.00,  NW3 , PACIFIC OCE-00                   , AN,       0   ,0
000333,   47.00,  -138.00,  NW4 , PACIFIC OCE-00                   , AN,       0   ,0
000334,   43.60,  -135.50,  NW5 , PACIFIC OCE-00                   , AN,       0   ,0
000335,   39.70,  -133.30,  NW6 , PACIFIC OCE-00                   , AN,       0   ,0
000336,   48.50,  -129.50,  NW7 , PACIFIC OCE-00                   , AN,       0   ,0
000337,   44.60,  -127.50,  NW8 , PACIFIC OCE-00                   , AN,       0   ,0
000338,   50.50,  -141.38,  NW9 , PACIFIC OCE-00                   , AN,       0   ,0
000339,   40.50,  -126.98,  NWA , PACIFIC OCE-00                   , AN,       0   ,0
000340,   55.00,   170.00,  BS1 , BERING S                         , EA,       9999,0
000341,   55.00,   180.00,  BS2 , BERING S                         , EA,       9999,0
000342,   60.00,   175.00,  BS3 , BERING S                         , EA,       9999,0
000345,   42.80,  -109.81,  KPNA, PINEDALE                         , WY,       2163,0 Usr Rqst 4-12
000346,   39.15,  -122.15,  WLM , WILLIAM -999 Usr Rqst-13         , CA,       0   ,0 Usr Rqst 1-13
000347,   40.88,  -121.66,  KBNY, BURNEY                           , CA,       957 ,0 Usr Rqst 1-13
000348,   37.99,  -120.38,  SON , SONORA -999 Usr Rqst-13          , CA,       0   ,0 Usr Rqst 1-13
000349,   37.74,  -118.49,  YSV , YOSEMITE VALLEY                  , CA,       1219,0 Usr Rqst 1-13
000350,   36.20,  -119.10,  LSY , LINDSAY -999 Usr Rqst-13         , CA,       0   ,0 Usr Rqst 1-13
