      RAOB STATION LISTING 20181221 - MODIFIED BY KYLE J GILLETT
------------------------------------------------------------------------
Entries may be added, deleted, or edited, BUT FORMAT MUST BE MAINTAINED.
------------------------------------------------------------------------
WMO numbers must be sequential.      Coordinates are in decimal degrees.
------------------------------------------------------------------------

WMO,ICAO,NAME,LOC,EL(m),LAT,A,LON,B,

10640, ----, OFFENBACH/MAIN,             DL,  112,  50.12, N,    8.73, E
10642, ----, HANAU,                      DL,  112,  50.17, N,    8.95, E
10687, ----, GRAFENWOHR,                 DL,  414,  49.70, N,   11.95, E
10729, ----, MANNHEIN/NEUOSTHEIM,        DL,  100,  49.52, N,    8.55, E
10735, ----, SINSHEIM (AUT),             DL,  169,  49.25, N,    8.88, E
10739, ----, STUTTGART/SCHNARRENBERG,    DL,  311,  48.83, N,    9.20, E
10771, ETGK, KUEMMERSBRUCK,              DL,  418,  49.43, N,   11.90, E
10775, ETIH, HOHENFELS,                  DL,  442,  49.22, N,   11.83, E
10777, ----, GELBELSEE,                  DL,  539,  48.95, N,   11.43, E
10828, ----, SIGMARINGEN,                DL,  646,  48.10, N,    9.25, E
10860, ETSI, INGOLSTADT,                 DL,  370,  48.72, N,   11.53, E
10862, ----, SIEGENBERG,                 DL,  404,  48.75, N,   11.80, E
10868, ----, MUNICH/OBERSCHLEISSHEIM,    DL,  489,  48.25, N,   11.58, E
10954, ----, ALTENSTADT/SHONGUA,         DL,  738,  47.83, N,   10.87, E
10962, ----, HOHENPEISSENBERG,           DL,  986,  47.80, N,   11.02, E
11010, LOWL, LINZ (CIV/MIL),             OS,  313,  48.23, N,   14.20, E
11011, LOXL, HORSCHING,                  OS,  313,  48.23, N,   14.18, E
11030, LOXT, LANGENLEBARN,               OS,  176,  48.32, N,   16.23, E
11035, ----, WIEN/HOHE WARTE,            OS,  200,  48.25, N,   16.37, E
11078, ----, LILLIENFELD,                OS,  681,  48.03, N,   15.58, E
11120, LOWI, INNSBRUCK AIRPORT,          OS,  581,  47.27, N,   11.35, E
11144, ----, ZELL AM SEE,                OS,  763,  47.33, N,   12.80, E
11152, ----, MATTSEE,                    OS,  502,  47.97, N,   13.10, E
11240, LOWG, GRAZ (MIL/CIV),             OS,  347,  47.00, N,   15.43, E
11241, ----, SCHOECKL MOUNTAIN,          OS, 1438,  47.20, N,   15.47, E
11270, ----, DELLACH IM DRAUTAL,         OS,  630,  46.75, N,   13.08, E
11280, ----, MURAU,                      OS,  818,  47.12, N,   14.18, E
11320, ----, INNSBRUCK/UNIVERSITY,       OS,  579,  47.27, N,   11.38, E
11351, ----, RAMSAU/DACHSTEIN,           OS, 1207,  13.63, N,   13.63, E
11520, ----, PRAGUE/LIBUS,               CZ,  304,  50.00, N,   14.45, E
11722, ----, BRNO REBESOVICE,            CZ,  195,  49.08, N,   16.62, E
11747, ----, PROSTEJOV,                  CZ,  216,  49.45, N,   17.13, E
11952, ----, POPRAD/GANOVCE,             LO,  706,  49.03, N,   20.32, E
